recipe,preptime,cooktime,cuisine,course,diet,ingredients
Coriander Prawn Cakes Recipe,10,20,Continental,Appetizer,Non Vegeterian,"500 grams Prawns - shelled,1 Onion - finely chopped,1 Leek - sliced,2 teaspoons Dried oregano,1 teaspoon Dried Thyme Leaves,1 teaspoon Rosemary,2 teaspoons Red Chilli flakes,1/4 cup Makki Ka Atta (Yellow Corn Meal Flour),4 sprig Coriander (Dhania) Leaves,Salt - to taste,Sunflower Oil"
Delicious Skillet Plum Cake Recipe,10,35,Continental,Snack,Eggetarian,"1-1/2 cups All Purpose Flour (Maida),3/4 cup Brown Sugar (Demerara Sugar),1-1/2 teaspoon Baking powder,1/4 teaspoon Salt,1/2 cup Butter,2/3 cup Milk,1/2 teaspoon Orange Zest (Rind),2 Whole Eggs,1/2 teaspoon Almond essence (Badam Essence),6 Plums - thinly sliced"
Sweet Potato Dal Recipe,10,35,North Indian Recipes,Lunch,Vegetarian,"1 cup Masoor Dal (Whole),1 cup Sweet Potatoes - cubed,1 tablespoon Coconut Oil - or any other oil,2 Onion - finely chopped,1 Tomato - finely chopped,1 teaspoon Cumin seeds (Jeera),4 Green Chillies - slit lengthwise,5 Garlic - peeled and chopped,1-1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,6 Curry leaves,1/2 teaspoon Salt - (adjust according to your taste),2 cups Water,1 teaspoon Sunflower Oil,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon White Urad Dal (Split),1/2 teaspoon Mustard seeds,Coriander (Dhania) Leaves - Few sprigs"
Beetroot Millet Paniyaram Recipe,180,10,Chettinad,Snack,Vegetarian,"100 grams Beetroot - peeled and chopped,1/2 cup Foxtail Millet,1/4 cup Instant Oats (Oatmeal),2 tablespoon Rice flour,1 teaspoon Baking powder,1/4 cup Jaggery - powdered,1 teaspoon Cardamom Powder (Elaichi),Ghee - bfor frying"
Nutty Oats Almond Truffle Recipe - A Healthy Snack,20,0,Continental,Snack,High Protein Vegetarian,"1 cup Dates - soaked in warm water for 10 minutes,1/4 cup Cocoa Powder,1/2 cup Almond Meal (Badam Powder),1/4 cup Flax seed powder (flax meal),1 teaspoon Vanilla Extract,4 Multigrain Digestive Oat Biscuits - broken,1/2 cup Dark chocolate - chopped,1/2 cup Dessicated Coconut"
Chicken and Mushroom Pot Pie Recipe,20,45,Continental,Lunch,Non Vegeterian,"300 grams Chicken - cut into pieces,500 grams Button mushrooms - quartered,1 Onion - sliced,4 cloves Garlic - chopped,3 sprig Basil leaves,1 teaspoon Dried oregano,1 teaspoon Rosemary,1 teaspoon Black pepper powder,1/4 cup Fresh cream,Salt - to taste,Sunflower Oil,1 All Purpose Pie Crust"
Lentil Sauce Recipe - Stewed Coconut Milk Sauce,10,40,Kerala Recipes,Dessert,Vegetarian,"1-1/2 cups Milk,1 cup Coconut milk,1/4 cup Yellow Moong Dal (Split) - washed and soaked,2 tablespoons Chana dal (Bengal Gram Dal) - washed and soaked,2 tablespoons Fresh coconut - grated,1/2 cup Jaggery,10 Cashew nuts - halved,1 teaspoon Cardamom Powder (Elaichi),2 tablespoons Ghee"
Tandoori Aloo Gobi Kathi Roll Recipe - Spicy Aloo Gobi Frankie,20,40,Indian,Snack,Vegetarian,"1 Cauliflower (gobi) - cut into florets,12 Baby Potatoes,1/2 cup Curd (Dahi / Yogurt),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Chaat Masala Powder,1/4 teaspoon Cumin seeds (Jeera),1/4 teaspoon Turmeric powder (Haldi),2 Green Chillies - chopped,1 Onion - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,1 Lemon - juice extracted,Salt - to taste,2 teaspoons Sunflower Oil,2 cups Whole Wheat Flour,Sunflower Oil,Salt"
Roasted Potatoes & Zucchini Bake Recipe In A Creamy Parsley Sauce,15,30,Continental,Main Course,Vegetarian,"3 Green zucchini - sliced,2 Potatoes (Aloo) - boiled firm and sliced,2 cloves Garlic - finely chopped,1/2 cup Britannia Cream Cheese - (I like to use a flavored or herbed cheese),1 cup Hung Curd (Greek Yogurt),Parsley leaves - small bunch,1 cup Feta Cheese - crumbled,1/2 cup Parmesan cheese - grated,Salt and Pepper - to taste,Extra Virgin Olive Oil - to cook"
Spiced Whole Wheat Carrot Cake Recipe,30,45,Continental,Snack,Vegetarian,"2 cups Whole Wheat Flour,2 teaspoons Cinnamon Powder (Dalchini),1 teaspoon Dry ginger powder,1/2 teaspoon Salt,2 teaspoons Baking powder,1 cup Sugar,1/2 cup Nutralite Classic Spread,3 Whole Eggs,1/4 cup Milk,2 cups Carrots (Gajjar) - grated,1/4 cup Walnuts - chopped,2 tablespoons Icing Sugar - for dusting"
Grilled Tangy Lime Salmon Steak Recipe,10,15,Continental,Dinner,High Protein Non Vegetarian,"500 grams Salmon fillet,1 Onion - chopped,2 tablespoon Lemon zest,1 tablespoon Whole Black Peppercorns - crushed,2 teaspoons Garlic powder,1 tablespoon Extra Virgin Olive Oil,1 tablespoon Paprika powder,Salt - to taste,3 tablespoons Lemon juice,1 tablespoon Dijon Mustard,1 tablespoon Lemon juice,1 tablespoon Sambal oelek"
Bihari Shakarkand Bhujia Recipe - Spicy Sweet Potato Sabzi,10,10,North Indian Recipes,Lunch,Vegetarian,"2 Sweet Potatoes - peeled and cut into thin strips,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit into halves,1-1/2 tablespoon Mustard oil,Salt - to taste"
Egg White Spinach Omelette Recipe With Garlic & Oregano,10,5,Continental,World Breakfast,Eggetarian,"4 Whole Eggs - egg whites separated,1 Onion - finely chopped,50 grams Spinach - washed and finely chopped,2 Green Chillies - finely chopped,Salt and Pepper - to taste,1 teaspoon Nutralite Garlic & Oregano Spread"
No Onion No Garlic Spiced Apple Tomato Curry Recipe,20,30,Kashmiri,Dinner,No Onion No Garlic (Sattvic),"2 apples - peel and chop, 2 tomatoes - puree or grated, 1/2 teaspoon turmeric powder, 1/2 teaspoon coriander powder, 1/2 teaspoon red chili powder, 1 lentil sugar, 1 bay leaf - break , Salt - or kala namak (as per taste), 2 sprigs of coriander - finely chopped, oil - as per use"
Homemade Spicy Ramen with Tofu Recipe,10,45,Asian,Lunch,Vegetarian,"1 cup Wheat Noodles,1 Red Bell pepper (Capsicum) - sliced,2 Stalks Spring Onion Greens - finely chopped,3 tablespoons Milk,1 tablespoon Vinegar,1 tablespoon Tomato Ketchup,1 tablespoon Red Chilli sauce,1 cup Tofu,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 tablespoon Green Chilli Sauce,1 tablespoon Honey,1-1/2 teaspoon Coriander Powder (Dhania),1 teaspoon Black pepper powder,1 teaspoon Red Chilli powder,1 1/2 teaspoon Garam masala powder,1/2 teaspoon Amchur (Dry Mango Powder),1 Onion,1 teaspoon Sugar,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 Dry Red Chilli,4 cloves Garlic,1 inch Ginger"
Ambul Polos Curry - Sri Lankan Jack Fruit Curry Recipe With Pol Sambol,10,20,Asian,Lunch,Vegetarian,"1 cup Fresh coconut - grated,6 Dry Red Chillies,1/2 cup Pearl onions (Sambar Onions) - 1 red onion diced,1 Lemon - juice extracted,1/2 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Whole Black Pepper Corns,1/2 teaspoon Mustard seeds,4 Cloves (Laung),3 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies,1 tablespoon Sunflower Oil,4 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 Onions - thinly sliced,2 sprig Curry leaves,1-1/2 cups Jackfruit Raw (Kathal),Salt - to taste,2-1/2 cups Water"
Stuffed Gilka Recipe (Maharashtrian Style Stuffed Silk Squash),10,20,Maharashtrian Recipes,Lunch,Vegetarian,"6 Gilka (sponge/silk squash) - cut into about 3 inch pieces,1 teaspoon Cumin seeds (Jeera),1 tablespoon Sunflower Oil,Coriander (Dhania) Leaves - as required for garnish (chopped),2 Onions - finely chopped,7 cloves Garlic - crushed,3 tablespoon Groundnut powder,2 tablespoon Sesame powder - roasted,2 teaspoons Red Chilli powder,2 teaspoon Maharashtrian Goda Masala,1 teaspoon Jaggery - grated,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Asafoetida (hing),Salt - to taste"
Drumstick Spinach Juice Recipe,10,25,South Indian Recipes,Lunch,Vegetarian,"2 tablespoons Arhar dal (Split Toor Dal),1 cup Tamarind Water,Drumstick Leaves (Moringa/Murungai Keerai) - one bunch,5 cloves Garlic - crushed,Salt - as required,Asafoetida (hing) - a pinch,2 teaspoon Rasam Powder,1 teaspoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 sprig Curry leaves"
Palak Paneer Recipe - Palak Paneer Recipe,20,40,Punjabi,Dinner,High Protein Vegetarian,"250 grams Paneer - Chop, 500 grams Spinach - Wash and chop, 1 Tomato - Puree, 2 cloves Garlic - Tighten, 2 inch Ginger - Tighten, 2 Green Chillies - Cut it straight, 1/2 tsp Cumin seeds, 1 / 4 tsp cinnamon powder, 1 tsp cumin powder, 1/4 tsp turmeric powder, 1 tsp garam masala powder, 2 tbsp cream, 1 tbsp butter, salt - as per taste"
Broken Wheat Upma Or Dalia Khichdi Recipe for Babies & Toddlers,10,10,Indian,Indian Breakfast,Vegetarian,"1/4 cup Broken Wheat (Dalia/ Godumai Rava),1/2 cup Water,Salt - as per your taste,1 Carrots (Gajjar) - finely chopped,1 teaspoon Ghee,1/4 teaspoon Mustard seeds,1/4 teaspoon Turmeric powder (Haldi),Curry leaves - a few"
Name Cucumber Salad Recipe - Quickcomber sausage,65,0,South Indian Recipes,Snack,High Protein Vegetarian,"2 Cucumbers - finely chopped,1/2 cup Yellow Moong Dal (Split) - soaked for 4 hours,1 Lemon - juiced,1/4 cup Fresh coconut - grated,Coriander (Dhania) Leaves - handful,Salt - to taste,1 teaspoon Coconut Oil,1/2 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),2 Green Chillies - finely chopped,1 sprig Curry leaves - few"
Crispy Vegetable Recipe - Crispy Bhujia,380,30,North Indian Recipes,Lunch,Diabetic Friendly,"4 Karela (Bitter Gourd/ Pavakkai) - cut into thin strips,1 teaspoon Salt - or to taste,1 tablespoon Mustard oil,1 tablespoon Fennel seeds (Saunf),1 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder - or to taste,2 teaspoons Amchur (Dry Mango Powder)"
Dried Neem Flower Flavored Rice (Recipe in Hindi),320,50,South Indian Recipes,Lunch,Vegetarian,"1 cup black rice - cooked, oil - or ghee, 1/3 teaspoon asafoetida, 1/2 teaspoon white urad dal, 2 teaspoons neem leaves, 1 red chili, Few curry leaves"
Cauliflower Croquettes Recipe,15,45,Continental,Appetizer,Vegetarian,"1 Cauliflower (gobi) - cut into small pieces,1/2 cup All Purpose Flour (Maida),1 cup Milk,2 tablespoon Butter,4 cloves Garlic - chopped,1 tablespoon Rosemary,1 tablespoon Dried Thyme Leaves,3 tablespoon Tabasco Original - Hot Sauce,Salt - to taste,1 Whole Egg,1/2 cup Whole Wheat Bread crumbs,Sunflower Oil - for frying"
Broccoli And Aloo Poriyal Recipe - South Indian Broccoli And Potato Stir Fry,20,15,South Indian Recipes,Lunch,Vegetarian,"1 Broccoli - cut into florets,3 Potatoes (Aloo) - peeled and cut into wedges,1/2 teaspoon Mustard seeds,1 sprig Curry leaves - roughly torn,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for cooking"
Hot and Spicy Chicken Curry Noodles Recipe,10,40,Chinese,Lunch,Non Vegeterian,"1 teaspoon Sunflower Oil - saffola active,3 Spring Onion Greens - finely chopped,4 cloves Garlic - finely chopped,2 inch Ginger - thinly sliced,2 teaspoon Sriracha sauce,100 grams Tofu - cut into small cubes,250 grams Chicken breasts - cut into small pieces,40 grams Rolled Oats Or Instant Oats,40 ml Coconut milk,200 grams Egg noodles - boiled,Red Chilli powder - to taste,Salt - to taste"
Nendra Pazham Pulissery Recipe - Ayurvedic Recipe,10,15,Kerala Recipes,Lunch,Vegetarian,"2 Nendra Pazham Banana (Ripe) - sliced into rounds,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,1 cup Curd (Dahi / Yogurt),Coconut Oil - for cooking,1/2 cup Fresh coconut,2 Green Chilli,1 sprig Curry leaves,1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 sprig Curry leaves,1 teaspoon White Urad Dal (Split),Sunflower Oil - for tempering"
Spinach Coriander Dosa Recipe - Spinach and Coriander Dosa Recipe,10,45,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,"3 cups rice - soaked overnight, 1 cup white urad dal - soaked overnight, 1 tsp fenugreek seeds - soaked overnight, 2 tsp salt, 100 grams spinach - finely chopped, green coriander - little, Oil - as per use"
Rosemary And Thyme Chicken Recipe,60,20,Continental,Dinner,High Protein Non Vegetarian,"2 Chicken breasts,2 tablespoon Rosemary,2 tablespoon Fresh Thyme leaves - or dried,4 cloves Garlic - minced,2 tablespoon Lemon juice,1 tablespoon Honey,4 tablespoon Extra Virgin Olive Oil,2 tablespoon Lemon zest,1/2 tablespoon Black pepper powder,5 Lemon wedges"
Akoori with Green Peas Recipe (Parsi Style Scrambled Eggs with Green Peas),5,10,Parsi Recipes,Indian Breakfast,Eggetarian,"7 Whole Eggs,1/2 cup Green peas (Matar),2 Onions - finely chopped,4 Tomatoes - finely chopped,2 Green Chillies - finely chopped,1 teaspoon Ginger Garlic Paste,1 teaspoon Turmeric powder (Haldi),1 teaspoon Curry powder,1 teaspoon Red Chilli powder,3 tablespoons Coriander (Dhania) Leaves - finely chopped,2 teaspoons Sunflower Oil,1 teaspoon Lemon juice,1 teaspoon Ginger - juliennes for garnish,Salt - to taste"
Mishti Doi Recipe - Traditional Bengali Sweet Yogurt,10,30,Bengali Recipes,Dessert,Vegetarian,"3 cups Milk,3/4 cup Sugar,1 tablespoon Curd (Dahi / Yogurt) - whisked,1 tablespoon Water"
Whole Wheat Flour Murukku Recipe,10,20,South Indian Recipes,Snack,Vegetarian,"2 cups Whole Wheat Flour,1 teaspoon Salt,1 tablespoon Butter (unsalted) - melted,2 teaspoon Sesame seeds (Til seeds),1 teaspoon Ajwain (Carom seeds),1 teaspoon Red Chilli powder,Water - as required,Sunflower Oil - for deep frying"
Indian Beaten Coffee Recipe | Dalgona Coffee,5,0,North Indian Recipes,Indian Breakfast,Vegetarian,"2 tablespoons Instant Coffee Powder,2 tablespoons Sugar,2 tablespoons Water,3/4 cup Milk - chilled,Cinnamon Powder (Dalchini) - a pinch to garnish,Instant Coffee Powder - a pinch to garnish"
Coriander and Coconut Chutney Recipe - Green Coriander And Coconut Chutney (Recipe (In Hindi),10,10,Indian,Side Dish,Vegetarian,"150 grams coconut - grated, 100 grams coriander - fresh, 1 green chili - chopped, 1 inch ginger - chopped, 1/2 teaspoon cumin seeds, salt - 1 tablespoon lemon juice, according to taste"
Lauki Badi Ki Sabzi (Recipe In Hindi),10,20,Rajasthani,Main Course,Vegetarian,"1/2 gourd - peel and chop, 1/2 cup wood, oil - 4 curry leaves, 1/2 teaspoon cumin seeds, 1/2 teaspoon mustard, asafoetida - a pinch, 1 green chili - finely chopped , 1 inch ginger - grated, 3 cloves garlic - grated, 1 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, 1/2 teaspoon coriander powder, 1/2 teaspoon garam masala powder"
Guilt Free Coconut Barfi Recipe,10,30,North Indian Recipes,Dessert,Vegetarian,"1/2 cup Badam (Almond) - powdered,15 Dates - seedless,3/4 cup Dessicated Coconut - + little extra for garnishing,3 tablespoons Milk,1 tablespoon Ghee - /clarified butter + a little extra for greasing the plate,1 teaspoon Cardamom Powder (Elaichi)"
Kerala Chicken Curry Recipe With Freshly Ground Spices,10,45,Kerala Recipes,Lunch,Non Vegeterian,"500 Chicken - medium sized pieces,1 Onion - roughly chopped,1 inch Ginger - grated,6 cloves Garlic - finely chopped,1 teaspoon Mustard seeds,8 Curry leaves,Coconut Oil,Salt - as per taste,1/2 cup Coconut milk - or grated fresh coconut,1 tablespoon Whole Black Peppercorns,1 teaspoon Coriander (Dhania) Seeds,1 inch Cinnamon Stick (Dalchini),1 teaspoon Fennel seeds (Saunf),2 Dry Red Chillies"
 Fulkopir Paturi Recipe,10,75,Bengali Recipes,Lunch,Vegetarian,"1 cup cabbage - grated, 1/4 teaspoon turmeric powder, 1/4 teaspoon red chilli powder, 1/2 teaspoon cumin seeds, 1/4 teaspoon sugar, 1 teaspoon mustard oil, salt - according to taste, 1 teaspoon Rye - powder, 3/4 teaspoon poppy seeds - powder, 2 green chillies - chopped, 1/4 cup coconut - grated, 4 garlic - bud, 1/2 banana leaves - steamer To put in, 1/2 banana leaves - cook and cut on low flame, oil - to grease, Sunflower Oil - few drops for greasing"
Apple Tart with Puff Pastry Recipe (Open Pie),15,30,Continental,Dessert,Vegetarian,"1 Puff Pastry Sheet,1 Apple - sliced,1/4 teaspoon Cinnamon Powder (Dalchini),1/3 cup Brown Sugar (Demerara Sugar)"
Broccoli Soup Recipe - For Babies/Toddlers above 7 months,15,10,Continental,Lunch,High Protein Vegetarian,"1 cup Broccoli - 10 florets approximately,Salt - a pinch,Black pepper powder - a pinch,1/2 teaspoon Butter (unsalted),3 Badam (Almond) - soaked in hot water"
Karnataka Special Huli Tovve Recipe,10,30,Kerala Recipes,Lunch,Vegetarian,"1 cup Mixed vegetables - (french beans,1/4 cup Raw Peanuts (Moongphali),1/2 cup Arhar dal (Split Toor Dal),Salt - to taste,1 tablespoon Jaggery,1/4 cup Fresh coconut - grated,6 Dry Red Chillies,1 tablespoon Chana dal (Bengal Gram Dal),1 tablespoon White Urad Dal (Split),1 inch Cinnamon Stick (Dalchini),1 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,Asafoetida (hing) - A pinch,Curry leaves - as required"
Garlic Tikki Recipe,20,30,North Indian Recipes,Appetizer,Vegetarian,"7 Potatoes (Aloo) - boiled,1/2 cup Paneer (Homemade Cottage Cheese) - grated,10 Cashew nuts - finely chopped,1 Onion - finely chopped,10 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 tablespoon Corn flour,1/4 teaspoon Red Chilli powder,Sunflower Oil - for frying,Salt - to taste"
Baked Fish Crisps Recipe (Fish Fry In Oven),10,30,Indian,Appetizer,High Protein Non Vegetarian,"10 Fish - pieces,1 teaspoon Sunflower Oil - optional,5 teaspoon Red Chilli powder,2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Water"
Left Over Vadai Upma Recipe,0,15,South Indian Recipes,South Indian Breakfast,Vegetarian,"6 Medu vada,1 tablespoon Ginger - finely chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,1 pinch Asafoetida (hing),1/2 teaspoon Mustard seeds,1/2 teaspoon Chana dal (Bengal Gram Dal),1 Dry Red Chilli,1 sprig Curry leaves,1 sprig Coriander (Dhania) Leaves,Salt - to taste,Sunflower Oil - as required"
Hyderabadi Chand Biscuits Recipe,20,20,Hyderabadi,Lunch,Vegetarian,"125 gram Butter (unsalted),75 gram Sugar - powdered,Salt - a pinch,200 grams All Purpose Flour (Maida),Baking powder - a pinch,10 grams Milk Powder,1/2 teaspoon Vanilla Extract"
Mullu Murukku Recipe - Mullu Murukku Recipe,10,40,Tamil Nadu,Snack,Vegetarian,"2 cups rice flour, 1/2 cup urad dal flour, 1/2 tsp asafoetida, 1 tsp sesame (white), 1 tsp red chilli powder, 1/2 tsp turmeric powder, 1/2 cup butter , Water - as per use, salt - as per taste, oil - as per use"
Prawns Fried Rice Recipe,0,40,Indian,Lunch,High Protein Non Vegetarian,"1 cup rice, 2 bay leaves, 2 onions, 5 cloves garlic, 1/2 inch ginger, 1 teaspoon soy sauce, 1/2 carrot, 1 teaspoon green chilli sauce, 1/2 capsicum (green), 1 small Spoon Roasted Tomato Sauce, 8 Prawns - Marinate, 1 tablespoon Butter, 2 tablespoons Oil - As per the usage, 2 Long, 4 Whole Pepper, 1/2 Teaspoon Dal Sugar Powder, 1/2 teaspoon Black Pepper Powder , 1 tablespoon green coriander - chopped, salt - as per taste, 1/2 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, salt - as per taste"
Homemade Vada Pav Recipe With Spinach Corn Tikki,20,40,Maharashtrian Recipes,Snack,Vegetarian,"8 Pav buns,Herb Butter - for toasting the buns,1/4 cup Lahsun Ki Chutney (Red Garlic Chutney),1 Onion - cut into rings,4 tablespoons Classic Mayonnaise (With Egg),1 teaspoon Butter,4 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,1 inch Ginger - finely chopped,1 cup Spinach - chopped,1/2 cup Sweet corn - steamed,1 teaspoon Chaat Masala Powder,4 Potatoes (Aloo) - boiled and mashed,Salt - to taste,1/4 cup Butter,1 cup Whole Wheat Bread crumbs - for dusting"
Carrot Pulao Recipe - Carrot Rice (Recipe),20,30,Indian,Dinner,Vegetarian,"2 cups rice - cooked, 10 small onions - finely chopped, 1 inch ginger - grated Powder, 1 green coriander - a little, oil - as per use, 1 tablespoon ghee - and sesame oil, salt - as per taste"
Gur Paare Recipe (A traditional Punjabi Wedding Sweet),15,30,Punjabi,Snack,Vegetarian,"500 grams All Purpose Flour (Maida),1/4 cup Ghee,250 grams Jaggery,1 teaspoon Fennel seeds (Saunf),Sunflower Oil - for deep frying"
Spinach & Garlic Potato Patties Recipe,10,20,Continental,Appetizer,Vegetarian,"4 Potatoes (Aloo) - boiled and peeled,1/4 cup Milk,1 tablespoon Butter,4 cloves Garlic - finely chopped,1 Onion - finely chopped,Salt - to taste,1 cup Spinach Leaves (Palak) - finely chopped,1 teaspoon Black pepper powder,3/4 cup Whole Wheat Bread crumbs,1/2 cup Cheese,1 tablespoon Lemon juice,1 teaspoon Cumin powder (Jeera),Extra Virgin Olive Oil - to shallow fry the patties"
Pumpkin Peas Palya Recipe,10,20,South Indian Recipes,Lunch,Vegetarian,"1-1/2 cup Kaddu (Parangikai/ Pumpkin) - cubed,1/2 cup Green peas (Matar) - cooked,2 tablespoon Fresh coconut - grated,2 teaspoon Amchur (Dry Mango Powder),1 teaspoon Garam masala powder,2 teaspoons Red Chilli powder,1 tablespoon Coconut Oil,1 teaspoon Mustard seeds,1 teaspoon Chana dal (Bengal Gram Dal),5 Curry leaves,2 cups Water,Salt - as per taste"
Thandai Srikhand Tart Recipe,10,90,North Indian Recipes,Dessert,Vegetarian,"1-1/2 cups All Purpose Flour (Maida),1 pinch Salt,1/4 Cardamom Powder (Elaichi),1/4 teaspoon Cinnamon Powder (Dalchini),1 teaspoons Black pepper powder,1 pinch Nutmeg powder,5 tablespoons Butter (unsalted) - cold,1/4 cup Fresh coconut - grated,2 tablespoons Badam (Almond) - blanched and peeled,2 tablespoons Cashew nuts,2 tablespoon Pistachios,1 teaspoon Poppy seeds,1/4 cup Sugar - powdered,Chilled water,2 cups Shrikhand,Pistachios - few for garnishing,Mixed fruits - Assortment of fruits like"
Masala Dosa Recipe With Red Chutney - Masala Dosa With Red Chutney Recipe,10,45,South Indian Recipes,South Indian Breakfast,Vegetarian,"3-1 / 2 cup idli dosa mixture, oil - as per use, 1/2 tsp chaat masala powder, 1-1 / 2 cup potato masala, garlic chutney - as per use, 2 cups potato - boiled and mashed, 1 cup Onion - cut straight and thin, 1 tsp ginger - tighten, 2 green chillies - finely chopped, 1/4 tsp turmeric powder, 6 curry leaves - finely chopped, coriander - little, salt - as per taste"
Palak (Spinach) Puri Recipe,20,25,Indian,Indian Breakfast,Vegetarian,"1 cup Whole Wheat Flour,20 Spinach Leaves (Palak) - chopped,1/4 inch Ginger - peeled and chopped,1 Green Chilli - chopped,1 teaspoon Cumin powder (Jeera),1 tablespoon Water,2 tablespoon Sunflower Oil - more to deep fry"
Peas and Peel Vegetables (Peas & Peel Stir Fry Recipe),20,10,Indian,Side Dish,Vegetarian,"300 grams Green peas (Matar) - with pod,5 Spring Onion (Bulb & Greens) - chopped,1/2 teaspoon Panch Phoran Masala,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,2 Green Chillies - slit/finely chopped,Salt - as needed,1 tablespoon Sunflower Oil"
How To Boil Eggs At Home - Boiled Eggs Recipe,0,10,Continental,Eggetarian,Vegetarian,"2 Whole Eggs,Water - (2 inches above eggs in the pan)"
Boiled Egg With Salt And Pepper Recipe - Finger Food For Babies Above 9 Months,2,10,Indian,Snack,High Protein Non Vegetarian,"1 Whole Egg,2 cups Water,Salt and Pepper - a pinch"
Spinach Thalipeeth Recipe,5,30,Maharashtrian Recipes,North Indian Breakfast,Vegetarian,"1 cup Whole Wheat Flour,1/4 cup Rice flour,1/4 cup Gram flour (besan),1 cup Spinach Leaves (Palak) - chopped,1 Onion - finely chopped,1 teaspoon Cumin seeds (Jeera),1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Cumin powder (Jeera),Salt - to taste,Sunflower Oil - to smear"
Paneer Satay Recipe,15,30,North Indian Recipes,Appetizer,High Protein Vegetarian,"500 grams Paneer (Homemade Cottage Cheese) - cut lengthwise of 1 inch thickness,1 inch Ginger - grated,3 cloves Garlic - grated,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Dark soy sauce,1 tablespoon Sesame (Gingelly) Oil,Salt - to taste"
Pumpkin Almond Recipe - Ach Gert Surri With Dal,10,30,Tamil Nadu,Lunch,Vegetarian,"1 1/2 cups Vellai Poosanikai (Ash gourd/White Pumpkin) - diced into cubes,1/4 cup Yellow Moong Dal (Split),2 tablespoons Chana dal (Bengal Gram Dal),20 grams Tamarind - lemon sized,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 sprig Curry leaves,2 teaspoon Sunflower Oil,Salt - as per your taste,1/2 tablespoon White Urad Dal (Split),1/2 tablespoon Chana dal (Bengal Gram Dal),1 1/2 tablespoon Coriander (Dhania) Seeds,5 Dry Red Chillies,1/4 cup Fresh coconut - grated"
Taiwanese Pineapple Cake Recipe - Shortcrust Pastry Cake,20,25,Asian,Dessert,Non Vegeterian,"1-1/2 cups All Purpose Flour (Maida),1 cup Whole Egg,1/4 cup Butter - chilled,1/2 teaspoon Baking powder,3 teaspoons Sugar,1/4 cup Milk,1 pinch Salt,2 cups Pineapple - finely chopped,1/4 cup Jaggery"
Grilled lentil recipe,10,25,Maharashtrian Recipes,Lunch,High Protein Vegetarian,"1 cup Chana dal (Bengal Gram Dal),2 Green Chillies,1 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1/2 teaspoon Turmeric powder (Haldi),Curry leaves - Handful,Salt - as required,Sugar - a pinch,1 teaspoon Lemon juice,Coriander (Dhania) Leaves - Handful"
Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine),15,20,Chettinad,Lunch,Vegetarian,"1 Onion - thinly sliced,2 Tomatoes - finely chopped,8-10 Curry leaves,1/2 tablespoon Sesame (Gingelly) Oil,1/2 teaspoon Fennel seeds (Saunf),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,5 to 6 Dry Red Chillies - adjust according to taste,1/4 cup Fresh coconut - chopped,2 sprig Coriander (Dhania) Leaves - finely chopped for garnishing"
